treat,anyhelp,bystander,femprop,station1,team
"Imm w/ Hijab, Progressive Att",1,3,.66666669,Osnabruck,Team 1
German,1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",0,2,.5,Osnabruck,Team 1
German,1,1,1,Osnabruck,Team 1
German,1,3,.33333334,Osnabruck,Team 1
German,1,2,1,Osnabruck,Team 1
Imm w/o Hijab,0,1,0,Bielefeld,Team 1
German,1,2,.5,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",0,2,.5,Bielefeld,Team 1
Imm w/o Hijab,1,2,.5,Bielefeld,Team 1
Imm w/o Hijab,1,2,.5,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",0,3,.66666669,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",0,2,.5,Bielefeld,Team 1
German,1,2,1,Bielefeld,Team 1
Imm w/o Hijab,1,5,0,Bielefeld,Team 1
German,1,3,0,Bielefeld,Team 1
Imm w/o Hijab,1,3,.66666669,Bielefeld,Team 1
German,0,3,.66666669,Bielefeld,Team 1
German,0,4,1,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",0,2,1,Bielefeld,Team 1
Imm w/o Hijab,1,3,0,Bielefeld,Team 1
German,1,2,0,Bielefeld,Team 1
German,1,5,.80000001,Bielefeld,Team 1
"Imm w/ Hijab, Progressive Att",1,3,.33333334,Bielefeld,Team 1
Imm w/o Hijab,1,4,.75,Bielefeld,Team 1
German,1,4,.5,Bielefeld,Team 1
"Imm w/ Hijab, Progressive Att",0,3,.66666669,Bielefeld,Team 1
Imm w/o Hijab,1,3,.33333334,Bielefeld,Team 1
German,1,1,0,Bielefeld,Team 1
German,1,2,0,Bielefeld,Team 1
German,1,2,1,Bielefeld,Team 1
German,1,3,.33333334,Bielefeld,Team 1
"Imm w/ Hijab, Progressive Att",1,2,.5,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,Bielefeld,Team 1
German,1,2,.5,Bielefeld,Team 1
German,0,1,0,Bielefeld,Team 1
German,1,4,0,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,2,0,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
German,1,2,1,Osnabruck,Team 1
German,1,3,.33333334,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,2,0,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
German,1,5,1,Osnabruck,Team 1
German,1,1,0,Osnabruck,Team 1
Imm w/o Hijab,0,2,1,Osnabruck,Team 1
Imm w/o Hijab,1,5,.2,Osnabruck,Team 1
German,1,4,.5,Osnabruck,Team 1
German,1,3,.33333334,Osnabruck,Team 1
German,0,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,2,1,Osnabruck,Team 1
Imm w/o Hijab,1,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",0,1,1,Osnabruck,Team 1
Imm w/o Hijab,1,4,1,Osnabruck,Team 1
German,1,2,0,Osnabruck,Team 1
Imm w/o Hijab,1,2,0,Osnabruck,Team 1
Imm w/o Hijab,0,2,1,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",0,1,0,Osnabruck,Team 1
German,1,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,2,0,Hannover,Team 1
German,0,2,1,Hannover,Team 1
German,1,3,1,Hannover,Team 1
Imm w/o Hijab,1,1,1,Hannover,Team 1
"Imm w/ Hijab, Conservative Att",0,1,1,Hannover,Team 1
German,1,4,.75,Hannover,Team 1
"Imm w/ Hijab, Progressive Att",0,3,.33333334,Hannover,Team 1
Imm w/o Hijab,1,2,1,Hannover,Team 1
"Imm w/ Hijab, Progressive Att",0,3,.33333334,Hannover,Team 1
German,1,2,.5,Hannover,Team 1
Imm w/o Hijab,0,3,.66666669,Hannover,Team 1
Imm w/o Hijab,0,3,.66666669,Hannover,Team 1
Imm w/o Hijab,1,1,0,Rheine,Team 1
German,1,1,0,Rheine,Team 1
"Imm w/ Hijab, Conservative Att",0,1,0,Rheine,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,Rheine,Team 1
Imm w/o Hijab,1,1,0,Rheine,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,Rheine,Team 1
Imm w/o Hijab,1,2,.5,Rheine,Team 1
"Imm w/ Hijab, Conservative Att",1,1,0,Rheine,Team 1
Imm w/o Hijab,1,1,0,Rheine,Team 1
"Imm w/ Hijab, Conservative Att",0,2,1,Rheine,Team 1
"Imm w/ Hijab, Progressive Att",0,2,.5,Rheine,Team 1
Imm w/o Hijab,1,2,.5,Rheine,Team 1
Imm w/o Hijab,1,2,1,Rheine,Team 1
German,1,1,0,Rheine,Team 1
German,1,1,1,Rheine,Team 1
German,0,2,.5,Rheine,Team 1
Imm w/o Hijab,1,2,0,Rheine,Team 1
Imm w/o Hijab,1,1,1,Rheine,Team 1
Imm w/o Hijab,0,1,2,Rheine,Team 1
Imm w/o Hijab,1,2,0,M<9f>nster,Team 1
German,1,3,.33333334,M<9f>nster,Team 1
German,1,4,.25,M<9f>nster,Team 1
German,1,2,1,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,2,1,M<9f>nster,Team 1
"Imm w/ Hijab, Progressive Att",1,3,1,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",0,2,.5,M<9f>nster,Team 1
Imm w/o Hijab,1,2,.5,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",0,2,.5,M<9f>nster,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",1,3,.66666669,M<9f>nster,Team 1
German,1,3,.66666669,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",0,4,.25,M<9f>nster,Team 1
Imm w/o Hijab,1,1,0,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",0,2,.5,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",1,1,0,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,3,.33333334,M<9f>nster,Team 1
German,1,1,1,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",0,2,1,M<9f>nster,Team 1
German,1,1,1,M<9f>nster,Team 1
Imm w/o Hijab,1,3,0,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,2,0,M<9f>nster,Team 1
German,1,3,0,M<9f>nster,Team 1
Imm w/o Hijab,0,1,1,M<9f>nster,Team 1
German,1,4,.25,M<9f>nster,Team 1
Imm w/o Hijab,1,2,1,M<9f>nster,Team 1
"Imm w/ Hijab, Progressive Att",1,3,.33333334,M<9f>nster,Team 1
"Imm w/ Hijab, Progressive Att",0,2,0,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,3,.66666669,Osnabruck,Team 1
German,1,4,.75,Osnabruck,Team 1
Imm w/o Hijab,0,5,.60000002,Osnabruck,Team 1
German,0,2,.5,Osnabruck,Team 1
Imm w/o Hijab,0,4,.75,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",0,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,4,1,Osnabruck,Team 1
Imm w/o Hijab,1,2,0,Osnabruck,Team 1
Imm w/o Hijab,1,4,.75,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
Imm w/o Hijab,1,3,.66666669,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,2,1,Osnabruck,Team 1
German,0,1,1,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
German,1,3,.33333334,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,3,1,M<9f>nster,Team 1
German,0,2,.5,M<9f>nster,Team 1
"Imm w/ Hijab, Progressive Att",0,2,.5,M<9f>nster,Team 1
German,1,2,.5,M<9f>nster,Team 1
Imm w/o Hijab,1,2,.5,M<9f>nster,Team 1
Imm w/o Hijab,1,2,.5,M<9f>nster,Team 1
Imm w/o Hijab,1,3,.66666669,M<9f>nster,Team 1
Imm w/o Hijab,1,2,1,M<9f>nster,Team 1
German,1,2,.5,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,1,1,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,M<9f>nster,Team 1
German,1,2,.5,M<9f>nster,Team 1
Imm w/o Hijab,0,2,1,M<9f>nster,Team 1
German,1,2,0,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,3,.33333334,M<9f>nster,Team 1
German,0,3,.33333334,M<9f>nster,Team 1
Imm w/o Hijab,0,2,.5,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,2,0,M<9f>nster,Team 1
Imm w/o Hijab,1,2,1,M<9f>nster,Team 1
Imm w/o Hijab,0,1,1,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,M<9f>nster,Team 1
German,1,2,.5,M<9f>nster,Team 1
Imm w/o Hijab,0,1,0,M<9f>nster,Team 1
German,0,2,1,M<9f>nster,Team 1
Imm w/o Hijab,0,2,.5,M<9f>nster,Team 1
Imm w/o Hijab,0,3,.66666669,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",1,3,1,M<9f>nster,Team 1
"Imm w/ Hijab, Progressive Att",1,3,.66666669,M<9f>nster,Team 1
German,0,4,.5,M<9f>nster,Team 1
Imm w/o Hijab,1,2,.5,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,3,1,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",0,3,.66666669,M<9f>nster,Team 1
Imm w/o Hijab,0,3,0,M<9f>nster,Team 1
German,0,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,Osnabruck,Team 1
German,1,3,.66666669,Osnabruck,Team 1
Imm w/o Hijab,0,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",0,3,.66666669,Osnabruck,Team 1
German,1,4,.25,Osnabruck,Team 1
German,0,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",0,4,.25,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",0,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",0,2,1,Osnabruck,Team 1
German,0,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",0,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,2,1,Osnabruck,Team 1
Imm w/o Hijab,1,4,.5,Osnabruck,Team 1
German,1,2,.5,Osnabruck,Team 1
German,1,2,1,Osnabruck,Team 1
German,1,4,.5,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,1,0,Osnabruck,Team 1
German,1,1,0,Osnabruck,Team 1
German,1,2,0,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",0,2,1,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",0,2,0,Osnabruck,Team 1
German,1,5,.40000001,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
Imm w/o Hijab,0,3,.66666669,Osnabruck,Team 1
Imm w/o Hijab,0,1,0,Osnabruck,Team 1
German,1,3,.66666669,Osnabruck,Team 1
German,1,2,1,Bielefeld,Team 1
German,1,3,.33333334,Bielefeld,Team 1
Imm w/o Hijab,1,2,1,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",1,3,.66666669,Bielefeld,Team 1
Imm w/o Hijab,1,2,.5,Bielefeld,Team 1
"Imm w/ Hijab, Progressive Att",1,1,0,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",1,1,1,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",1,2,1,Bielefeld,Team 1
"Imm w/ Hijab, Progressive Att",0,1,1,Bielefeld,Team 1
German,0,1,1,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",1,2,.5,Bielefeld,Team 1
German,1,2,0,Bielefeld,Team 1
Imm w/o Hijab,1,2,0,Bielefeld,Team 1
"Imm w/ Hijab, Progressive Att",1,2,1,Bielefeld,Team 1
Imm w/o Hijab,1,3,1,Bielefeld,Team 1
Imm w/o Hijab,0,3,.66666669,Bielefeld,Team 1
Imm w/o Hijab,1,1,0,Bielefeld,Team 1
German,1,3,.66666669,Bielefeld,Team 1
"Imm w/ Hijab, Progressive Att",1,3,.66666669,Bielefeld,Team 1
German,1,1,0,Bielefeld,Team 1
Imm w/o Hijab,0,2,.5,Bielefeld,Team 1
Imm w/o Hijab,0,1,0,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",1,1,2,Bielefeld,Team 1
German,1,1,1,Bielefeld,Team 1
Imm w/o Hijab,1,1,0,Bielefeld,Team 1
German,1,1,1,Bielefeld,Team 1
German,0,1,0,Bielefeld,Team 1
Imm w/o Hijab,0,2,1,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",0,3,1,Bielefeld,Team 1
Imm w/o Hijab,1,3,.33333334,Bielefeld,Team 1
German,1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,4,.75,Osnabruck,Team 1
German,0,4,.5,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
German,0,1,0,Osnabruck,Team 1
German,1,3,.66666669,Osnabruck,Team 1
German,1,3,.66666669,Osnabruck,Team 1
German,0,1,1,Osnabruck,Team 1
German,1,4,.75,Osnabruck,Team 1
Imm w/o Hijab,1,3,.66666669,Osnabruck,Team 1
German,1,4,.25,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,Osnabruck,Team 1
German,0,4,.5,Osnabruck,Team 1
Imm w/o Hijab,0,1,1,Osnabruck,Team 1
German,1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,4,0,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",0,1,1,Osnabruck,Team 1
German,1,1,1,Osnabruck,Team 1
German,1,1,1,Osnabruck,Team 1
German,1,2,1,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,Osnabruck,Team 1
German,1,3,.66666669,Osnabruck,Team 1
German,1,4,.5,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,0,1,1,Osnabruck,Team 1
German,1,2,.5,Osnabruck,Team 1
German,1,3,0,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,2,1,Osnabruck,Team 1
German,0,2,.5,M<9f>nster,Team 1
German,0,1,1,M<9f>nster,Team 1
Imm w/o Hijab,1,3,1,M<9f>nster,Team 1
Imm w/o Hijab,1,2,1,M<9f>nster,Team 1
Imm w/o Hijab,1,1,0,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",1,1,1,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",0,1,0,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,1,0,M<9f>nster,Team 1
Imm w/o Hijab,0,4,.75,M<9f>nster,Team 1
Imm w/o Hijab,0,2,.5,M<9f>nster,Team 1
German,1,4,.5,M<9f>nster,Team 1
German,1,2,.5,M<9f>nster,Team 1
Imm w/o Hijab,1,1,0,M<9f>nster,Team 1
"Imm w/ Hijab, Progressive Att",1,1,0,M<9f>nster,Team 1
Imm w/o Hijab,1,1,1,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",1,3,1,M<9f>nster,Team 1
Imm w/o Hijab,1,2,.5,M<9f>nster,Team 1
German,0,1,0,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",1,3,.33333334,M<9f>nster,Team 1
Imm w/o Hijab,1,2,0,M<9f>nster,Team 1
"Imm w/ Hijab, Neutral Att",1,1,0,M<9f>nster,Team 1
German,1,1,0,M<9f>nster,Team 1
German,0,3,.66666669,M<9f>nster,Team 1
Imm w/o Hijab,1,3,.33333334,M<9f>nster,Team 1
German,1,1,0,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",1,2,.5,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",0,2,0,M<9f>nster,Team 1
"Imm w/ Hijab, Conservative Att",1,2,.5,M<9f>nster,Team 1
Imm w/o Hijab,0,2,.5,M<9f>nster,Team 1
German,1,3,.33333334,M<9f>nster,Team 1
Imm w/o Hijab,0,1,0,M<9f>nster,Team 1
Imm w/o Hijab,0,2,1,M<9f>nster,Team 1
German,1,1,0,M<9f>nster,Team 1
"Imm w/ Hijab, Progressive Att",0,1,0,M<9f>nster,Team 1
Imm w/o Hijab,0,2,.5,M<9f>nster,Team 1
German,1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,0,3,.66666669,Osnabruck,Team 1
Imm w/o Hijab,1,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,3,.33333334,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",0,2,.5,Osnabruck,Team 1
Imm w/o Hijab,0,1,1,Osnabruck,Team 1
German,1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,2,1,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,2,0,Osnabruck,Team 1
German,1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,4,.5,Osnabruck,Team 1
Imm w/o Hijab,1,4,.75,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,2,1,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",0,1,1,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,4,.25,Osnabruck,Team 1
German,1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
German,0,1,1,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,3,.66666669,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,2,1,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",0,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
German,0,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,0,Osnabruck,Team 1
German,1,1,1,Osnabruck,Team 1
Imm w/o Hijab,0,2,.5,Osnabruck,Team 1
German,0,1,1,Osnabruck,Team 1
Imm w/o Hijab,1,1,1,Osnabruck,Team 1
German,0,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,Osnabruck,Team 1
German,1,5,.2,Osnabruck,Team 1
German,1,4,.75,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,4,.75,Osnabruck,Team 1
German,0,2,1,Osnabruck,Team 1
Imm w/o Hijab,0,3,0,Osnabruck,Team 1
German,0,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,1,0,Osnabruck,Team 1
German,1,2,.5,Osnabruck,Team 1
German,1,1,0,Osnabruck,Team 1
German,1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,3,.33333334,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",0,3,0,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,3,0,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,1,1,Osnabruck,Team 1
German,1,1,1,Osnabruck,Team 1
Imm w/o Hijab,0,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,Osnabruck,Team 1
German,1,3,.33333334,Osnabruck,Team 1
German,0,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,0,Osnabruck,Team 1
German,0,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Bielefeld,Team 1
German,0,1,1,Bielefeld,Team 1
Imm w/o Hijab,1,1,0,Bielefeld,Team 1
German,1,1,1,Bielefeld,Team 1
Imm w/o Hijab,0,3,.66666669,Bielefeld,Team 1
German,0,2,.5,Bielefeld,Team 1
German,1,2,.5,Bielefeld,Team 1
Imm w/o Hijab,1,3,0,Bielefeld,Team 1
Imm w/o Hijab,1,1,1,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",1,1,0,Bielefeld,Team 1
German,0,1,1,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",1,1,0,Bielefeld,Team 1
German,0,2,1,Bielefeld,Team 1
German,1,1,1,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",1,2,1,Bielefeld,Team 1
Imm w/o Hijab,1,1,0,Bielefeld,Team 1
Imm w/o Hijab,1,1,0,Bielefeld,Team 1
Imm w/o Hijab,1,2,1,Bielefeld,Team 1
German,1,1,1,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",0,1,1,Bielefeld,Team 1
Imm w/o Hijab,1,1,0,Bielefeld,Team 1
German,0,3,.33333334,Bielefeld,Team 1
Imm w/o Hijab,1,1,0,Bielefeld,Team 1
Imm w/o Hijab,1,2,1,Bielefeld,Team 1
German,1,3,.66666669,Bielefeld,Team 1
Imm w/o Hijab,1,3,0,Bielefeld,Team 1
German,1,2,.5,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",1,3,.33333334,Bielefeld,Team 1
Imm w/o Hijab,1,4,0,Bielefeld,Team 1
German,1,2,.5,Bielefeld,Team 1
German,1,2,0,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",0,1,1,Bielefeld,Team 1
German,0,2,.5,Bielefeld,Team 1
German,0,1,1,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",1,2,.5,Bielefeld,Team 1
German,1,1,1,Bielefeld,Team 1
"Imm w/ Hijab, Progressive Att",1,2,1,Bielefeld,Team 1
Imm w/o Hijab,1,1,1,Bielefeld,Team 1
Imm w/o Hijab,1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,2,1,Osnabruck,Team 1
German,1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,1,1,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
German,1,1,1,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,1,0,Osnabruck,Team 1
German,0,2,.5,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
German,0,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",0,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,2,1,Osnabruck,Team 1
Imm w/o Hijab,0,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,1,0,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,2,0,Osnabruck,Team 1
Imm w/o Hijab,1,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Neutral Att",1,1,0,Osnabruck,Team 1
German,1,2,0,Osnabruck,Team 1
Imm w/o Hijab,1,3,.66666669,Osnabruck,Team 1
"Imm w/ Hijab, Progressive Att",1,1,1,Osnabruck,Team 1
Imm w/o Hijab,1,1,1,Osnabruck,Team 1
German,0,1,1,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",0,2,1,Osnabruck,Team 1
Imm w/o Hijab,1,1,1,Osnabruck,Team 1
German,0,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,2,.5,Osnabruck,Team 1
German,1,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,2,0,Osnabruck,Team 1
German,0,4,.25,Osnabruck,Team 1
German,1,2,1,Osnabruck,Team 1
German,0,1,1,Osnabruck,Team 1
German,0,2,1,Osnabruck,Team 1
Imm w/o Hijab,1,3,.33333334,Osnabruck,Team 1
"Imm w/ Hijab, Conservative Att",1,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Osnabruck,Team 1
Imm w/o Hijab,1,1,0,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",1,2,1,Bielefeld,Team 1
German,0,1,0,Bielefeld,Team 1
Imm w/o Hijab,0,3,.66666669,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",0,1,0,Bielefeld,Team 1
Imm w/o Hijab,1,2,.5,Bielefeld,Team 1
German,1,1,0,Bielefeld,Team 1
German,1,3,.33333334,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",1,2,0,Bielefeld,Team 1
German,0,2,1,Bielefeld,Team 1
Imm w/o Hijab,1,1,1,Bielefeld,Team 1
German,1,3,.66666669,Bielefeld,Team 1
German,1,1,1,Bielefeld,Team 1
"Imm w/ Hijab, Conservative Att",0,2,.5,Bielefeld,Team 1
German,1,2,1,Bielefeld,Team 1
German,0,1,0,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",1,2,.5,Bielefeld,Team 1
"Imm w/ Hijab, Neutral Att",1,1,1,Bielefeld,Team 1
Imm w/o Hijab,1,1,1,Bielefeld,Team 1
Imm w/o Hijab,0,1,0,Bielefeld,Team 1
